vial	day	female	male	mated	emerged	eggs	
1	9	iv	iv	1	4	29	
6	9	iv	iv	1	3	29	
7	9	iv	iv	1	12	25	
8	9	iv	iv	1	0	24	
11	9	iv	iv	1	4	24	
12	9	iv	iv	1	5	11	
13	9	iv	iv	1	0	25	
14	9	iv	iv	1	2	30	
18	9	iv	iv	1	4	24	
21	9	iv	iv	1	0	21	
28	9	dhm	dhm	1	0	33	
31	9	dhm	dhm	1	0	0	
34	9	dhm	dhm	1	0	35	
36	9	dhm	dhm	1	0	38	
37	9	dhm	dhm	1	3	28	
39	9	dhm	dhm	1	0	31	
40	9	dhm	dhm	1	1	22	
41	9	dhm	dhm	1	0	32	
42	9	dhm	dhm	1	0	29	
45	9	dhm	dhm	1	0	34	
52	9	dhm	iv	1	1	25	
57	9	dhm	iv	1	0	38	
58	9	dhm	iv	1	0	11	
59	9	dhm	iv	1	8	27	
61	9	dhm	iv	1	2	34	
64	9	dhm	iv	1	20	28	
65	9	dhm	iv	1	0	17	
69	9	dhm	iv	1	13	18	
70	9	dhm	iv	1	23	32	
71	9	dhm	iv	1	0	28	
76	9	val	dhm	1	8	24	
78	9	val	dhm	1	13	23	
79	9	val	dhm	1	11	21	
80	9	val	dhm	1	0	30	
81	9	val	dhm	1	9	13	
84	9	val	dhm	1	10	19	
87	9	val	dhm	1	2	26	
88	9	val	dhm	1	16	34	
93	9	val	dhm	1	7	18	
94	9	val	dhm	1	6	13	
101	9	lhm	dhm	1	0	12	
105	9	lhm	dhm	1	0	4	
106	9	lhm	dhm	1	2	14	
109	9	lhm	dhm	1	0	11	
111	9	lhm	dhm	1	2	12	
112	9	lhm	dhm	1	0	15	
115	9	lhm	dhm	1	3	7	
117	9	lhm	dhm	1	0	11	
119	9	lhm	dhm	1	0	7	
127	9	val	iv	1	13	18	
128	9	val	iv	1	12	19	
129	9	val	iv	1	9	16	
130	9	val	iv	1	10	19	
133	9	val	iv	1	20	19	
134	9	val	iv	1	15	11	
136	9	val	iv	1	5	21	
142	9	val	iv	1	16	18	
146	9	val	iv	1	11	18	
149	9	val	iv	1			
150	9	val	iv	1			
151	9	lhm	iv	1	9	18	
152	9	lhm	iv	1	9	9	
163	9	lhm	iv	1	5	15	
175	9	lhm	iv	1			
177	9	iv	dhm	1	8	29	
180	9	iv	dhm	1	11	29	
182	9	iv	dhm	1	0	0	
183	9	iv	dhm	1	13	22	
184	9	iv	dhm	1	10	25	
186	9	iv	dhm	1	7	29	
190	9	iv	dhm	1	8	26	
191	9	iv	dhm	1	5	32	
195	9	iv	dhm	1	6	31	
196	9	iv	 dhm	1	0	0	
201	9	lhm	lhm	1	0	13	
202	9	lhm	lhm	1	0	14	
204	9	lhm	lhm	1	0	14	
206	9	lhm	lhm	1	0	11	
207	9	lhm	lhm	1	0	12	
209	9	lhm	lhm	1	0	17	
212	9	lhm	lhm	1	0	2	
215	9	lhm	lhm	1	0	17	
216	9	lhm	lhm	1	0	15	
217	9	lhm	lhm	1	0	14	
220	9	lhm	lhm	1	0		
227	9	val	val	1	10	15	
229	9	val	val	1	6	22	
233	9	val	val	1	10	13	
234	9	val	val	1	0	25	
236	9	val	val	1	2	21	
242	9	val	val	1	10	19	
244	9	val	val	1	0	21	
246	9	val	val	1	0	25	
247	9	val	val	1	2	30	
248	9	val	val	1			
250	9	val	val	1	2	17	
251	9	iv	lhm	1	4	8	
252	9	iv	lhm	1	0	25	
254	9	iv	lhm	1	11	20	
255	9	iv	lhm	1	0	19	
256	9	iv	lhm	1	0	25	
257	9	iv	lhm	1	1	27	
259	9	iv	lhm	1	0	21	
268	9	iv	lhm	1	8	27	
269	9	iv	lhm	1	0	0	
278	9	dhm	lhm	1	7	20	
282	9	dhm	lhm	1	0	29	
287	9	dhm	lhm	1	0	1	
291	9	dhm	lhm	1	1	31	
292	9	dhm	lhm	1	0	18	
302	9	dhm	val	1	1	1	
303	9	dhm	val	1	2	38	
305	9	dhm	val	1	0	0	
306	9	dhm	val	1	0	0	
307	9	dhm	val	1	7	24	
309	9	dhm	val	1	1	27	
313	9	dhm	val	1			
316	9	dhm	val	1	1	32	
317	9	dhm	val	1	0	36	
320	9	dhm	val	1	2	33	
325	9	dhm	val	1	vial 326	35?	
326	9	iv	val	1	0	14?	
327	9	iv	val	1	12	19	
328	9	iv	val	1	7	18	
329	9	iv	val	1	10	27	
330	9	iv	val	1	14	19	
335	9	iv	val	1	12	22	
339	9	iv	val	1	8	19	
340	9	iv	val	1	0	15	
341	9	iv	val	1	0	19	
342	9	iv	val	1	0	dead F	
343	9	iv	val	1	0	no female	
351	9	lhm	val	1	0	7	
353	9	lhm	val	1	6	8	
354	9	lhm	val	1	0	8	
357	9	lhm	val	1	4	14	
358	9	lhm	val	1	0	15	
361	9	lhm	val	1	8	17	
367	9	lhm	val	1	4	11	
368	9	lhm	val	1	2	4	
372	9	lhm	val	1	6	12	
373	9	lhm	val	1	5	15	
374	9	lhm	val	1			
375	9	lhm	val	1			
376	9	val	lhm	1	8	16	
377	9	val	lhm	1	0	19	
379	9	val	lhm	1	12	25	
382	9	val	lhm	1	25	27	
383	9	val	lhm	1	13	12	
385	9	val	lhm	1	5	22	
391	9	val	lhm	1	15	14	
392	9	val	lhm	1	20	23	
393	9	val	lhm	1	17	17	
394	9	val	lhm	1	8	12	
1	10	iv	iv	1	27	29	
6	10	iv	iv	1	24	29	
7	10	iv	iv	1	12	25	
8	10	iv	iv	1	15	24	
11	10	iv	iv	1	20	24	
12	10	iv	iv	1	4	11	
13	10	iv	iv	1	21	25	
14	10	iv	iv	1	24	30	
18	10	iv	iv	1	19	24	
21	10	iv	iv	1	17	21	
28	10	dhm	dhm	1	1	33	
31	10	dhm	dhm	1	0	0	
34	10	dhm	dhm	1	19	35	
36	10	dhm	dhm	1	11	38	
37	10	dhm	dhm	1	16	28	
39	10	dhm	dhm	1	23	31	
40	10	dhm	dhm	1	19	22	
41	10	dhm	dhm	1	18	32	
42	10	dhm	dhm	1	19	29	
45	10	dhm	dhm	1	22	34	
52	10	dhm	iv	1	28	25	
57	10	dhm	iv	1	34	38	
58	10	dhm	iv	1	8	11	
59	10	dhm	iv	1	15	27	
61	10	dhm	iv	1	26	34	
64	10	dhm	iv	1	7	28	
65	10	dhm	iv	1	18	17	
69	10	dhm	iv	1	5	18	
70	10	dhm	iv	1	8	32	
71	10	dhm	iv	1	17	28	
76	10	val	dhm	1	23	24	
78	10	val	dhm	1	12	23	
79	10	val	dhm	1	8	21	
80	10	val	dhm	1	17	30	
81	10	val	dhm	1	6	13	
84	10	val	dhm	1	7	19	
87	10	val	dhm	1	21	26	
88	10	val	dhm	1	18	34	
93	10	val	dhm	1	14	18	
94	10	val	dhm	1	10	13	
101	10	lhm	dhm	1	5	12	
105	10	lhm	dhm	1	0	4	
106	10	lhm	dhm	1	5	14	
109	10	lhm	dhm	1	9	11	
111	10	lhm	dhm	1	6	12	
112	10	lhm	dhm	1	7	15	
115	10	lhm	dhm	1	8	7	
117	10	lhm	dhm	1	1	11	
