vial	day	female	male	mated	eggs	total_emerged	prop_eggs_emerged	failure									
1	1	iv	iv	1	29	31	1.068965517	0									
6	1	iv	iv	1	29	27	0.931034483	0									
7	1	iv	iv	1	25	24	0.96	0									
8	1	iv	iv	1	24	21	0.875	0									
11	1	iv	iv	1	24	24	1	0									
12	1	iv	iv	1	11	9	0.818181818	0									
13	1	iv	iv	1	25	27	1.08	0									
14	1	iv	iv	1	30	30	1	0									
18	1	iv	iv	1	24	24	1	0									
21	1	iv	iv	1	21	22	1.047619048	0									
28	1	dhm	dhm	1	33	34	1.03030303	0									
31	1	dhm	dhm	1	0	0	#DIV/0!	0									
34	1	dhm	dhm	1	35	34	0.971428571	0									
36	1	dhm	dhm	1	38	41	1.078947368	0									
37	1	dhm	dhm	1	28	19	0.678571429	0									
39	1	dhm	dhm	1	31	26	0.838709677	0									
40	1	dhm	dhm	1	22	20	0.909090909	0									
41	1	dhm	dhm	1	32	18	0.5625	0									
42	1	dhm	dhm	1	29	19	0.655172414	0									
45	1	dhm	dhm	1	34	35	1.029411765	0									
52	1	dhm	iv	1	25	29	1.16	0									
57	1	dhm	iv	1	38	35	0.921052632	0									
58	1	dhm	iv	1	11	8	0.727272727	0									
59	1	dhm	iv	1	27	23	0.851851852	0									
61	1	dhm	iv	1	34	33	0.970588235	0									
64	1	dhm	iv	1	28	27	0.964285714	0									
65	1	dhm	iv	1	17	19	1.117647059	0									
69	1	dhm	iv	1	18	18	1	0									
70	1	dhm	iv	1	32	31	0.96875	0									
71	1	dhm	iv	1	28	27	0.964285714	0									
76	1	val	dhm	1	24	31	1.291666667	0									
78	1	val	dhm	1	23	25	1.086956522	0									
79	1	val	dhm	1	21	19	0.904761905	0									
80	1	val	dhm	1	30	33	1.1	0									
81	1	val	dhm	1	13	15	1.153846154	0									
84	1	val	dhm	1	19	18	0.947368421	0									
87	1	val	dhm	1	26	26	1	0									
88	1	val	dhm	1	34	35	1.029411765	0									
93	1	val	dhm	1	18	21	1.166666667	0									
94	1	val	dhm	1	13	16	1.230769231	0									
101	1	lhm	dhm	1	12	13	1.083333333	0									
105	1	lhm	dhm	1	4	6	1.5	0									
106	1	lhm	dhm	1	14	13	0.928571429	0									
109	1	lhm	dhm	1	11	12	1.090909091	0									
111	1	lhm	dhm	1	12	13	1.083333333	0									
112	1	lhm	dhm	1	15	17	1.133333333	0									
115	1	lhm	dhm	1	7	13	1.857142857	0									
117	1	lhm	dhm	1	11	9	0.818181818	0									
119	1	lhm	dhm	1	7	8	1.142857143	0									
127	1	val	iv	1	18	24	1.333333333	0									
128	1	val	iv	1	19	21	1.105263158	0									
129	1	val	iv	1	16	17	1.0625	0									
130	1	val	iv	1	19	20	1.052631579	0									
133	1	val	iv	1	19	25	1.315789474	0									
136	1	val	iv	1	11	11	1	0									
134	1	val	iv	1	21	25	1.19047619	0									
142	1	val	iv	1	18	18	1	0									
146	1	val	iv	1	18	24	1.333333333	0									
149	1	val	iv	1		0	#DIV/0!	1									
150	1	val	iv	1		0	#DIV/0!	1									
151	1	lhm	iv	1	18	19	1.055555556	0									
152	1	lhm	iv	1	9	11	1.222222222	0									
163	1	lhm	iv	1	15	13	0.866666667	0									
175	1	lhm	iv	1		0	#DIV/0!	1									
177	1	iv	dhm	1	29	31	1.068965517	0									
180	1	iv	dhm	1	29	27	0.931034483	0									
182	1	iv	dhm	1	0	0	#DIV/0!	1									
183	1	iv	dhm	1	22	22	1	0									
184	1	iv	dhm	1	25	22	0.88	0									
186	1	iv	dhm	1	29	8	0.275862069	0									
190	1	iv	dhm	1	26	18	0.692307692	0									
