id	vial	female	male	day	eggs	failure		
1	1	iv	iv	1	29	0		
2	6	iv	iv	1	29	0		
3	7	iv	iv	1	25	0		
4	8	iv	iv	1	24	0		
5	11	iv	iv	1	24	0		
6	12	iv	iv	1	11	0		
7	13	iv	iv	1	25	0		
8	14	iv	iv	1	30	0		
9	18	iv	iv	1	24	0		
10	21	iv	iv	1	21	2		
11	28	dhm	dhm	1	33	0		
12	31	dhm	dhm	1	0	2		
13	34	dhm	dhm	1	35	0		
14	36	dhm	dhm	1	38	0		
15	37	dhm	dhm	1	28	0		
16	39	dhm	dhm	1	31	0		
17	40	dhm	dhm	1	22	0		
18	41	dhm	dhm	1	32	0		
19	42	dhm	dhm	1	29	1		
20	45	dhm	dhm	1	34	0		
21	52	dhm	iv	1	25	0		
22	57	dhm	iv	1	38	2		
23	58	dhm	iv	1	11	0		
24	59	dhm	iv	1	27	0		
25	61	dhm	iv	1	34	0		
26	64	dhm	iv	1	28	0		
27	65	dhm	iv	1	17	0		
28	69	dhm	iv	1	18	0		
29	70	dhm	iv	1	32	0		
30	71	dhm	iv	1	28	0		
31	76	val	dhm	1	24	0		
32	78	val	dhm	1	23	0		
33	79	val	dhm	1	21	0		
34	80	val	dhm	1	30	0		
35	81	val	dhm	1	13	0		
36	84	val	dhm	1	19	0		
37	87	val	dhm	1	26	0		
38	88	val	dhm	1	27	0		
39	93	val	dhm	1	18	0		
40	94	val	dhm	1	13	0		
41	101	lhm	dhm	1	12	0		
42	105	lhm	dhm	1	4	0		
43	106	lhm	dhm	1	14	0		
44	109	lhm	dhm	1	11	0		
45	111	lhm	dhm	1	12	0		
46	112	lhm	dhm	1	15	0		
47	115	lhm	dhm	1	7	0		
48	117	lhm	dhm	1	11	0		
49	119	lhm	dhm	1	7	0		
50	127	val	iv	1	18	0		
51	128	val	iv	1	19	1		
52	129	val	iv	1	16	0		
53	130	val	iv	1	19	0		
54	133	val	iv	1	19	0		
55	136	val	iv	1	11	0		
56	134	val	iv	1	21	0		
57	142	val	iv	1	18	0		
58	146	val	iv	1	18	0		
59	151	lhm	iv	1	18	0		
60	152	lhm	iv	1	9	0		
61	163	lhm	iv	1	15	0		
62	177	iv	dhm	1	29	0		
63	180	iv	dhm	1	29	0		
64	182	iv	dhm	1	0	0		
65	183	iv	dhm	1	22	0		
66	184	iv	dhm	1	25	0		
67	186	iv	dhm	1	29	0		
68	190	iv	dhm	1	26	0		
69	191	iv	dhm	1	32	0		
70	195	iv	dhm	1	31	0		
71	196	iv	 dhm	1	0	0		
72	201	lhm	lhm	1	13	0		
73	202	lhm	lhm	1	14	0		
74	204	lhm	lhm	1	14	0		
75	206	lhm	lhm	1	11	0		
76	207	lhm	lhm	1	12	0		
77	209	lhm	lhm	1	17	0		
78	212	lhm	lhm	1	2	0		
79	215	lhm	lhm	1	17	0		
80	216	lhm	lhm	1	15	0		
81	217	lhm	lhm	1	14	0		
82	227	val	val	1	15	0		
83	229	val	val	1	22	0		
84	233	val	val	1	13	0		
85	234	val	val	1	25	0		
86	236	val	val	1	21	0		
87	242	val	val	1	19	0		
88	244	val	val	1	21	0		
89	246	val	val	1	25	0		
90	247	val	val	1	30	0		
91	250	val	val	1	17	0		
92	251	iv	lhm	1	8	0		
93	252	iv	lhm	1	25	0		
94	254	iv	lhm	1	20	0		
95	255	iv	lhm	1	19	0		
96	256	iv	lhm	1	25	0		
97	257	iv	lhm	1	27	0		
98	259	iv	lhm	1	21	0		
99	268	iv	lhm	1	27	0		
100	269	iv	lhm	1	0	0		
101	278	dhm	lhm	1	20	0		
102	282	dhm	lhm	1	29	0		
103	287	dhm	lhm	1	1	1		
104	291	dhm	lhm	1	31	0		
105	292	dhm	lhm	1	18	0		
106	302	dhm	val	1	1	0		
107	303	dhm	val	1	38	0		
108	305	dhm	val	1	0	0		
109	306	dhm	val	1	0	0		
110	307	dhm	val	1	24	0		
111	309	dhm	val	1	27	0		
112	316	dhm	val	1	32	0		
113	317	dhm	val	1	36	0		
114	320	dhm	val	1	33	0		
115	325	dhm	val	1	35?	1		
116	326	iv	val	1	14	0		
117	327	iv	val	1	19	0		
118	328	iv	val	1	18	0		
119	329	iv	val	1	27	0		
120	330	iv	val	1	19	0		
121	335	iv	val	1	22	0		
122	339	iv	val	1	19	0		
123	340	iv	val	1	15	0		
124	341	iv	val	1	19	0		
125	342	iv	val	1	dead_F	1		
126	343	iv	val	1	no_female	1		
127	351	lhm	val	1	7	0		
128	353	lhm	val	1	8	0		
129	354	lhm	val	1	8	0		
130	357	lhm	val	1	14	0		
131	358	lhm	val	1	15	0		
132	361	lhm	val	1	17	0		
133	367	lhm	val	1	11	0		
134	368	lhm	val	1	4	0		
135	372	lhm	val	1	12	0		
136	373	lhm	val	1	15	0		
137	376	val	lhm	1	16	0		
138	377	val	lhm	1	19	0		
139	379	val	lhm	1	25	0		
140	382	val	lhm	1	27	0		
141	383	val	lhm	1	12	0		
142	385	val	lhm	1	22	0		
143	391	val	lhm	1	14	0		
144	392	val	lhm	1	23	0		
145	393	val	lhm	1	17	0		
146	394	val	lhm	1	12	0		
147	1	iv	iv	2	9	0		
148	6	iv	iv	2	11	0		
149	7	iv	iv	2	6	0		
150	8	iv	iv	2	14	0		
151	11	iv	iv	2	6	0		
152	12	iv	iv	2	7	0		
153	13	iv	iv	2	9	0		
154	14	iv	iv	2	11	0		
155	18	iv	iv	2	6	0		
156	21	iv	iv	2	10	2		
157	28	dhm	dhm	2	17	0		
158	31	dhm	dhm	2	50	2		
159	34	dhm	dhm	2	16	0		
160	36	dhm	dhm	2	17	0		
161	37	dhm	dhm	2	17	0		
162	39	dhm	dhm	2	17	0		
163	40	dhm	dhm	2	6	0		
164	41	dhm	dhm	2	22	0		
165	42	dhm	dhm	2	13	1		
166	45	dhm	dhm	2	19	0		
167	52	dhm	iv	2	15	0		
168	57	dhm	iv	2	24	2		
169	58	dhm	iv	2	0	0		
170	59	dhm	iv	2	17	0		
171	61	dhm	iv	2	9	0		
172	64	dhm	iv	2	10	0		
173	65	dhm	iv	2	21	0		
174	69	dhm	iv	2	8	0		
175	70	dhm	iv	2	15	0		
176	71	dhm	iv	2	34	0		
177	76	val	dhm	2	15	0		
178	78	val	dhm	2	7	0		
179	79	val	dhm	2	19	0		
180	80	val	dhm	2	14	0		
181	81	val	dhm	2	11	0		
182	84	val	dhm	2	20	0		
183	87	val	dhm	2	16	0		
184	88	val	dhm	2	13	0		
185	93	val	dhm	2	10	0		
186	94	val	dhm	2	24	0		
187	101	lhm	dhm	2	14	0		
188	105	lhm	dhm	2	17	0		
189	106	lhm	dhm	2	9	0		
190	109	lhm	dhm	2	21	0		
191	111	lhm	dhm	2	17	0		
192	112	lhm	dhm	2	17	0		
193	115	lhm	dhm	2	13	0		
194	117	lhm	dhm	2	14	0		
