id	female	male	mated	dnm	failure	latency	mating_duration
1	iv	iv	1	0	0	31.26	14.8
2	iv	iv	1	0	0	43.1844	24.92
3	iv	iv	1	0	0	34.1988	29.62
4	iv	iv	1	0	0	4.7332	20
5	iv	iv	1	0	0	30.0176	27.82
6	iv	iv	1	0	0	16.422	22.09
7	iv	iv	1	0	0	6.6064	26.77
8	iv	iv	1	0	0	20.2708	24.89
9	iv	iv	1	0	0	66.4252	32.96
10	iv	iv	1	0	0	6.7796	20.45
11	iv	iv	1	0	0	9.904	17.1
12	iv	iv	1	0	0	69.0684	32.76
13	iv	iv	1	0	0	36.7228	23.96
14	iv	iv	1	0	0	30.2872	16.16
15	iv	iv	1	0	0	66.2016	15.45
16	iv	iv	0	1	0	-2.034	0
17	iv	iv	1	0	0	87.1604	32.73
18	iv	iv	1	0	0	32.8948	29.25
19	iv	iv	1	0	0	31.7792	28.23
20	iv	iv	1	0	0	16.5236	21.13
21	iv	iv	1	0	0	45.618	25.7
22	iv	iv	0	0	1	-2.8476	0
23	iv	iv	0	0	1	-2.9832	0
24	iv	iv	0	0	1	-3.1188	0
25	iv	iv	0	0	1	-3.2544	0
26	dhm	dhm	0	1	0	-3.45	0
27	dhm	dhm	0	1	0	-3.5748	0
28	dhm	dhm	1	0	0	137.4704	15.88
29	dhm	dhm	0	1	0	-3.8244	0
30	dhm	dhm	0	1	0	-3.9492	0
31	dhm	dhm	1	0	0	108.506	25.57
32	dhm	dhm	0	1	0	-4.1988	0
33	dhm	dhm	0	1	0	-4.3236	0
34	dhm	dhm	1	0	0	77.7316	27.21
35	dhm	dhm	0	1	0	-4.5732	0
36	dhm	dhm	1	0	0	18.502	15.1
37	dhm	dhm	1	0	0	12.5272	20
38	dhm	dhm	0	1	0	-4.9476	0
39	dhm	dhm	1	0	0	34.9276	19.48
40	dhm	dhm	1	0	0	35.0628	16
41	dhm	dhm	1	0	0	122.778	19.07
42	dhm	dhm	1	0	0	126.8332	23.1
43	dhm	dhm	0	1	0	-5.5716	0
44	dhm	dhm	0	1	0	-5.6964	0
45	dhm	dhm	1	0	0	31.6188	24.58
46	dhm	dhm	0	1	0	-5.946	0
47	dhm	dhm	0	0	1	-6.0708	0
48	dhm	dhm	0	0	1	-6.1956	0
49	dhm	dhm	0	0	1	-6.3204	0
50	dhm	dhm	0	0	1	-6.4452	0
51	dhm	iv	0	1	0	-7.21	0
52	dhm	iv	1	0	0	25.092	15.58
53	dhm	iv	1	0	0	15.844	24.01
54	dhm	iv	1	0	0	54.396	27.1
55	dhm	iv	0	1	0	-8.002	0
56	dhm	iv	0	1	0	-8.2	0
57	dhm	iv	1	0	0	32.742	23.45
58	dhm	iv	1	0	0	46.474	21.07
59	dhm	iv	1	0	0	57.286	32.05
60	dhm	iv	1	0	0	29.008	18.45
61	dhm	iv	1	0	0	109.97	24.24
62	dhm	iv	1	0	0	182.772	32.84
63	dhm	iv	0	1	0	-9.586	0
64	dhm	iv	1	0	0	74.796	28.9
65	dhm	iv	1	0	0	20.518	19.57
66	dhm	iv	0	1	0	-10.18	0
67	dhm	iv	1	0	0	87.172	18.74
