vial	day	female	male	eggs	progeny	failure				
5	1	iv	iv	11	11	0				
17	1	iv	iv	7	5	0				
8	1	iv	iv	8	9	0				
18	1	iv	iv	3	5	1				
20	1	iv	iv	12	12	0				
7	1	iv	iv	5	5	0				
12	1	iv	iv	8	9	0				
10	1	iv	iv	8	10	0				
9	1	iv	iv	11	11	0				
24	1	iv	iv	3	3	0				
43	1	dhm	dhm	40	40	0				
42	1	dhm	dhm	47	46	0				
40	1	dhm	dhm	35	32	0				
50	1	dhm	dhm	13	6	0				
48	1	dhm	dhm	5	5	1				
49	1	dhm	dhm	36	34	1				
44	1	dhm	dhm	51	22	0				
36	1	dhm	dhm	50	48	0				
31	1	dhm	dhm	10	11	0				
30	1	dhm	dhm	19	22	0				
204	1	lhm	lhm	30	22	0				
211	1	lhm	lhm	0	1	0				
202	1	lhm	lhm	15	13	0				
207	1	lhm	lhm	8	4	0				
214	1	lhm	lhm	21	18	0				
208	1	lhm	lhm	14	18	0				
201	1	lhm	lhm	17	19	1				
210	1	lhm	lhm	17	14	0				
206	1	lhm	lhm	21	18	0				
223	1	lhm	lhm	19	11	0				
231	1	val	val	21	23	0				
227	1	val	val	15	14	0				
244	1	val	val	15	11	0				
246	1	val	val	19	12	0				
232	1	val	val	14	16	0				
236	1	val	val	9	12	0				
226	1	val	val	10	16	0				
228	1	val	val	21	17	0				
243	1	val	val	15	26	0				
234	1	val	val	28	25	0				
339	1	iv	val	0	0	0				
331	1	iv	val	18	18	0				
349	1	iv	val	10	8	0				
333	1	iv	val	7	7	0				
336	1	iv	val	9	8	0				
332	1	iv	val	16	18	0				
350	1	iv	val	19	19	0				
327	1	iv	val	0	0	0				
347	1	iv	val	9	9	0				
345	1	iv	val	13	16	0				
157	1	lhm	iv	14	17	0				
160	1	lhm	iv	12	15	0				
270	1	iv	lhm	8	8	0				
162	1	lhm	iv	18	18	0				
271	1	iv	lhm	0	0	0				
152	1	lhm	iv	21	21	0				
158	1	lhm	iv	25	23	0				
159	1	lhm	iv	14	14	0				
154	1	lhm	iv	15	15	0				
172	1	lhm	iv	19	19	1				
366	1	lhm	val	14	16	0				
356	1	lhm	val	16	15	0				
357	1	lhm	val	11	5	0				
363	1	lhm	val	9	1	0				
364	1	lhm	val	13	13	0				
365	1	lhm	val	13	14	0				
360	1	lhm	val	28	29	0				
353	1	lhm	val	21	15	0				
367	1	lhm	val	18	20	0				
355	1	lhm	val	20	20	0				
198	1	iv	dhm	14	17	0				
195	1	iv	dhm	15	14	0				
180	1	iv	dhm	13	12	0				
176	1	iv	dhm	13	15	0				
188	1	iv	dhm	8	6	0				
189	1	iv	dhm	23	8	0				
187	1	iv	dhm	11	12	0				
199	1	iv	dhm	17	13	0				
181	1	iv	dhm	10	2	0				
178	1	iv	dhm	17	13	0				
68	1	dhm	iv	36	37	0				
59	1	dhm	iv	30	26	0				
57	1	dhm	iv	43	44	0				
61	1	dhm	iv	19	26	0				
74	1	dhm	iv	39	41	0				
62	1	dhm	iv	36	38	0				
66	1	dhm	iv	36	34	0				
70	1	dhm	iv	34	33	0				
64	1	dhm	iv	40	41	0				
51	1	dhm	iv	32	34	0				
91	1	val	dhm	35	33	0				
92	1	val	dhm	23	25	0				
76	1	val	dhm	17	24	0				
87	1	val	dhm	17	8	0				
86	1	val	dhm	28	34	0				
99	1	val	dhm	38	32	0				
100	1	val	dhm	30	34	0				
82	1	val	dhm	17	18	0				
79	1	val	dhm	36	35	0				
94	1	val	dhm	20	18	0				
256	1	iv	lhm	11	0	0				
255	1	iv	lhm	9	7	0				
252	1	iv	lhm	10	10	0				
251	1	iv	lhm	11	6	0				
272	1	iv	lhm	11	11	0				
263	1	iv	lhm	9	9	0				
264	1	iv	lhm	20	10	0				
260	1	iv	lhm	10	9	0				
265	1	iv	lhm	16	12	0				
254	1	iv	lhm	10	12	0				
115	1	lhm	dhm	20	15	0				
110	1	lhm	dhm	16	4	0				
119	1	lhm	dhm	7	11	0				
111	1	lhm	dhm	11	16	0				
107	1	lhm	dhm	16	18	0				
120	1	lhm	dhm	19	19	0				
122	1	lhm	dhm	21	30	0				
106	1	lhm	dhm	12	12	0				
125	1	lhm	dhm	16	14	0				
109	1	lhm	dhm	16	16	0				
278	1	dhm	lhm	31	35	0				
277	1	dhm	lhm	59	50	0				
299	1	dhm	lhm	47	47	0				
280	1	dhm	lhm	47	31	0				
285	1	dhm	lhm	36	36	0				
294	1	dhm	lhm	56	33	0				
282	1	dhm	lhm	29	31	0				
286	1	dhm	lhm	31	28	0				
287	1	dhm	lhm	31	25	0				
126	1	val	iv	14	12	0				
129	1	val	iv	18	22	0				
130	1	val	iv	11	13	0				
146	1	val	iv	19	23	0				
137	1	val	iv	16	17	0				
145	1	val	iv	19	18	0				
127	1	val	iv	15	14	0				
145	1	val	iv	21	21	0				
136	1	val	iv	19	21	0				
150	1	val	iv	12	13	0				
308	1	dhm	val	25	23	0				
303	1	dhm	val	27	32	0				
309	1	dhm	val	30	30	0				
322	1	dhm	val	34	42	1				
313	1	dhm	val	47	47	0				
305	1	dhm	val	27	29	0				
316	1	dhm	val	38	37	0				
301	1	dhm	val	29	28	0				
317	1	dhm	val	31	32	0				
315	1	dhm	val	41	47	0				
379	1	val	lhm	6	0	0				
390	1	val	lhm	13	15	0				
389	1	val	lhm	18	20	0				
383	1	val	lhm	16	0	0				
385	1	val	lhm	5	0	0				
354	1	lhm	val	12	7	0				
396	1	val	lhm	21	27	0				
392	1	val	lhm	11	17	0				
378	1	val	lhm	32	38	0				
398	1	val	lhm	11	0	0				
5	2	iv	iv	25	11	0				
17	2	iv	iv	18	13	0				
8	2	iv	iv	11	12	0				
18	2	iv	iv	0	1	1				
20	2	iv	iv	18	4	0				
7	2	iv	iv	18	11	0				
12	2	iv	iv	10	8	0				
10	2	iv	iv	7	6	0				
9	2	iv	iv	11	6	0				
24	2	iv	iv	2	1	0				
43	2	dhm	dhm	8	6	0				
42	2	dhm	dhm	21	9	0				
40	2	dhm	dhm	21	15	0				
50	2	dhm	dhm	9	3	0				
48	2	dhm	dhm	0	0	1				
49	2	dhm	dhm	25	3	1				
44	2	dhm	dhm	19	9	0				
36	2	dhm	dhm	11	7	0				
31	2	dhm	dhm	15	2	0				
30	2	dhm	dhm	16	2	0				
204	2	lhm	lhm	15	6	0				
211	2	lhm	lhm	11	1	0				
202	2	lhm	lhm	19	6	0				
207	2	lhm	lhm	7	1	0				
214	2	lhm	lhm	18	1	0				
208	2	lhm	lhm	19	8	0				
201	2	lhm	lhm	13	6	1				
210	2	lhm	lhm	15	6	0				
206	2	lhm	lhm	8	0	0				
223	2	lhm	lhm	23	10	0				
231	2	val	val	16	11	0				
227	2	val	val	21	8	0				
244	2	val	val	20	10	0				
246	2	val	val	24	0	0				
232	2	val	val	15	15	0				
236	2	val	val	21	16	0				
226	2	val	val	22	9	0				
228	2	val	val	25	15	0				
243	2	val	val	17	8	0				
234	2	val	val	22	16	0				
339	2	iv	val	34	25	0				
331	2	iv	val	7	1	0				
