id	female	male	mated	dnm	failure	mating_duration	latency										
1	iv	iv	1	0	0	25.12	54										
2	iv	iv	0	1	0	0.00	-0.1696										
3	iv	iv	0	1	0	0.00	-0.3392										
4	iv	iv	0	1	0	0.00	-0.5088										
5	iv	iv	1	0	0	24.85	109.5816										
6	iv	iv	0	1	0	0.00	-0.848										
7	iv	iv	1	0	0	22.65	68.5024										
8	iv	iv	1	0	0	23.23	84.8728										
9	iv	iv	1	0	0	19.68	78.0932										
10	iv	iv	1	0	0	25.09	95.9136										
11	iv	iv	1	0	0	24.60	22.854										
12	iv	iv	1	0	0	-82.00	80.1344										
13	iv	iv	1	0	0	5.70	40.2648										
14	iv	iv	0	1	0	0.00	-2.2048										
15	iv	iv	1	0	0	20.89	59.0356										
16	iv	iv	1	0	0	25.30	74.736										
17	iv	iv	1	0	0	26.83	68.4564										
18	iv	iv	1	0	0	15.39	43.2368										
19	iv	iv	0	1	0	0.00	-3.0528										
20	iv	iv	1	0	0	18.09	42.0276										
21	iv	iv	0	1	0	0.00	-3.392										
22	iv	iv	0	1	0	0.00	-3.5616										
23	iv	iv	0	1	0	0.00	-3.7312										
24	iv	iv	1	0	0	22.90	65.3692										
25	iv	iv	1	0	0	24.00	12.9296										
26	dhm	dhm	0	1	0	0.00	-4.3										
27	dhm	dhm	1	0	0	21.00	86.9988										
28	dhm	dhm	0	1	0	0.00	-4.6424										
29	dhm	dhm	0	1	0	0.00	-4.8136										
30	dhm	dhm	1	0	0	20.25	134.0152										
31	dhm	dhm	1	0	0	21.59	92.274										
32	dhm	dhm	1	0	0	18.88	141.0528										
33	dhm	dhm	0	1	0	0.00	-5.4984										
34	dhm	dhm	0	1	0	0.00	-5.6696										
35	dhm	dhm	1	0	0	18.00	14.1592										
36	dhm	dhm	1	0	0	120.24	69.258										
37	dhm	dhm	1	0	0	16.39	135.8868										
38	dhm	dhm	0	1	0	0.00	-6.3544										
39	dhm	dhm	0	1	0	0.00	-6.5256										
40	dhm	dhm	1	0	0	16.90	22.7032										
41	dhm	dhm	1	0	0	21.25	151.322										
42	dhm	dhm	1	0	0	16.18	16.0208										
43	dhm	dhm	1	0	0	19.02	17.0296										
44	dhm	dhm	1	0	0	21.87	164.8384										
45	dhm	dhm	1	0	0	20.87	165.6672										
46	dhm	dhm	0	1	0	0.00	-7.724										
47	dhm	dhm	0	1	0	0.00	-7.8952										
48	dhm	dhm	1	0	0	21.12	120.1636										
49	dhm	dhm	1	0	0	16.88	75.9224										
50	dhm	dhm	1	0	0	22.94	117.8712										
51	dhm	iv	1	0	0	23.55	35.07										
52	dhm	iv	0	1	0	0.00	-9.5416										
53	dhm	iv	1	0	0	16.96	30.7768										
54	dhm	iv	0	1	0	0.00	-9.8648										
55	dhm	iv	0	1	0	0.00	-10.0264										
56	dhm	iv	0	1	0	0.00	-10.188										
57	dhm	iv	1	0	0	19.08	141.0504										
58	dhm	iv	0	1	0	0.00	-10.5112										
59	dhm	iv	1	0	0	34.77	173.7472										
60	dhm	iv	0	1	0	0.00	-10.8344										
61	dhm	iv	1	0	0	21.63	59.544										
62	dhm	iv	1	0	0	25.29	82.8824										
63	dhm	iv	1	0	0	29.58	93.1508										
64	dhm	iv	1	0	0	17.89	120.6492										
65	dhm	iv	0	1	0	0.00	-11.6424										
66	dhm	iv	1	0	0	23.76	32.436										
67	dhm	iv	1	0	0	22.21	121.2644										
68	dhm	iv	1	0	0	25.22	136.2328										
69	dhm	iv	1	0	0	43.95	16.2112										
70	dhm	iv	1	0	0	25.46	63.5496										
71	dhm	iv	0	1	0	0.00	-12.612										
72	dhm	iv	0	1	0	0.00	-12.7736										
73	dhm	iv	0	1	0	0.00	-12.9352										
74	dhm	iv	1	0	0	19.04	70.2432										
75	dhm	iv	1	0	1	0.00	-13.2584										
76	val	dhm	1	0	0	20.50	61.76										
77	val	dhm	1	0	0	10.85	14.1048										
78	val	dhm	0	1	0	0.00	-14.5504										
79	val	dhm	1	0	0	15.81	61.6544										
80	val	dhm	1	0	0	18.17	19.3192										
81	val	dhm	1	0	0	10.35	25.134										
82	val	dhm	1	0	0	17.68	8.1488										
83	val	dhm	1	0	0	17.86	69.9236										
84	val	dhm	1	0	0	14.16	23.6084										
85	val	dhm	1	0	0	18.07	53.4532										
86	val	dhm	1	0	0	22.01	41.778										
87	val	dhm	1	0	0	15.04	120.2228										
88	val	dhm	0	1	0	0.00	-16.1024										
89	val	dhm	1	0	0	18.17	51.1524										
90	val	dhm	1	0	0	14.10	67.8172										
91	val	dhm	1	0	0	22.77	119.742										
92	val	dhm	1	0	0	16.66	54.7968										
93	val	dhm	0	1	0	0.00	-16.8784										
